parent_feature,child_feature,sibling_features,example_reviews,app_name,n_siblings,cluster_size,child_depth,tree_id,model_type,embedding_type,strategy,sample_size
delivery services,courier delivery,"[""postal"", ""to deliver list"", ""delivering"", ""deliveries"", ""delivery guys""]","[""The courier delivery became slow this feb 2022 that it was past due of their expected time should i receive it, i don't feel a platinum member because they are slow even in the customer service. Their output and resolve took some days and many of my orders are stuck for days on SOC3 and Sta Mesa Hub. Hope your logistic may improve soon and resolve the delay and overdues."", ""need more improvements in courier delivery even in local areas..it takes time,,""]",Shopee PH: Shop on 3.3 - 3.15,5,6,5,Shopee PH: Shop on 3.3 - 3.15__cluster_11,t-frex,allmini,balanced,0
dictionary tools,vocabulary,"[""synonym"", ""dictionary"", ""word""]","[""Many years have passed and this translator still awful. It helps, yeah, but very poorly. The vocabulary, the app usability, the visuals. All bad. I thought Google knew everything."", ""This app very useful and your vocabulary will be strong"", ""I'm not happy with this new format! Where is the old setting/format? All my collection of past vocabulary is gone!""]",Google Translate,3,4,3,Google Translate__cluster_3,t-frex,allmini,balanced,0
shopping,merchants,"[""shop"", ""shopping""]","[""Like magic! I find it amazing that using this app instantaneously results in accurate matches with whatever item you're attempting to track down. I took a photo of an antique lamp shade and...voila!...I received info on merchants who carried an exact match! And when the shade was delivered, it fit perfectly and looked great.""]",Google Lens,2,3,1,Google Lens__cluster_13,t-frex,allmini,balanced,0
language chat,text chat,"[""conversation"", ""chat""]","[""very solid learning methods. I especially love the text chat one where two people are talking.""]",Babbel - Learn Languages,2,3,2,Babbel - Learn Languages__cluster_12,t-frex,allmini,balanced,0
question asking,questioning,"[""questions"", ""asking""]","[""It's absolutely true that I can scan questions and crop then to get ans. Though it's the best app for questioning and answering. You should try this also.... it's helpful for me ;)"", ""This is one of the most helpful app I've ever used. But there's some users that answer or questioning using inappropraite words."", ""This is a great app to asky your doubts You will get answer of your each qnd every doubt The answering procedure is very good. But when i began to answer ather questions it did not give mem good questionsof my type Thus questioning procedure should be improved""]",Brainly – Get Homework Help,2,3,2,Brainly – Get Homework Help__cluster_64,t-frex,allmini,balanced,0
note taking,note programs,"[""note taking"", ""table notes"", ""keep notes""]","[""Love the way that it syncs with my other note programs.""]",Google Tasks,3,4,2,Google Tasks__cluster_20,t-frex,allmini,balanced,0
internet access,broadband,"[""web"", ""internet""]","[""Overall excellent only problem is if for some reason the broadband goes down we have to completely reset everything"", ""Thanks to Google the developer reached out. My original comments were old. It was during the transition from Google WiFi to Home I had issues. As my update states, it is 2022 and all is well. I look forward to the update in 2.49 and will try it with an open mind. I do have two accounts but the primary is the only I use for personal usage. Update 2022 - I have to admit the app is stable and I'm used to it now. However I hear changes are on the way. Fingers crossed... Love the app when it works. Currently it shows my network down on my pixel 4 but in get it had a good WiFi connection and connected to my broadband connection. I've seen this before when I when to set a priority device. The old WiFi app would still work but they both say my network is down although all devices I use are working""]",Google Home,2,3,1,Google Home__cluster_9,t-frex,allmini,balanced,0
credit bureau access,agencies,"[""agency"", ""bureau""]","[""I wish they'd have the fico score and worked with other credit agencies to actually give a consistent score number. Going to experion I have completely different numbers so it's confusing which is correct?"", ""does not indicate true scores from credit reporting agencies."", ""I really like this app except the scores they display. The numbers are about 50 points higher than the actual credit reporting agencies.""]",Credit Karma,2,3,2,Credit Karma__cluster_34,t-frex,allmini,balanced,0
in-app messaging,communication,"[""chat"", ""messaging""]","[""My food always get picked up fast and the driver's are great with communication."", ""Great communication."", ""Much better than Uber eats. Nothing was ever delivered correctly when they were eats and communication sucked but will postmates. I've never had an issue. It's awesome when things work the way they're supposed to work.""]","Postmates - Food, grocery & more",2,3,1,"Postmates - Food, grocery & more__cluster_10",t-frex,allmini,balanced,0
product advertising,advertisements,"[""advertising"", ""marketing"", ""ads"", ""products""]","[""It is an annoying app it has a lot of advertisements""]",JUMIA Online Shopping,4,5,4,JUMIA Online Shopping__cluster_3,t-frex,allmini,balanced,0
file sharing,share documents,"[""file sharing"", ""file share"", ""share file"", ""photo sharing"", ""sharing""]","[""zoom on playstore must be on par with desktop version because now a lot of people present from tablet. not having the option to see participants when we screen share is not good. and also please allow to share documents like docx or ppt because with pdf,we cannot maximize the presentation without animations. will definitely change the rating if this is implemented.""]",ZOOM Cloud Meetings,5,6,2,ZOOM Cloud Meetings__cluster_9,t-frex,allmini,balanced,0
promo codes,restaurant promotions,"[""promo codes"", ""promotions""]","[""To be fair, the delivery is a little unreliable, compared to some competitors, but the deals are so much better, that it's completely become my first choice to ordering food. There are plenty of significant restaurant promotions, and on top of that, Uber gives me daily codes for 6\u20ac to be applied on them as well..."", ""I love this app when I can't leave to get meals, I just don't like how it doesn't have the restaurant promotions on it or all the meal/snack options.""]",Uber Eats: Food Delivery,2,3,2,Uber Eats: Food Delivery__cluster_31,t-frex,allmini,balanced,0
task processing,performance,"[""task"", ""processing""]","[""Exellent Performance"", ""Fantastic Performance In File Transfer Speed.. It Saves Time :) Thank-you Very Much :)"", ""This app is not good all the time. My phone is ruined because of High Performance Mode. When I touch the buttons it's sound even my keyboard when I type it's vibrating. I return it in My Mode but nothing happens, it sounds and vibrates. Please fix this, Thank you.""]",SHAREit: Share & File Manager,2,3,1,SHAREit: Share & File Manager__cluster_20,t-frex,allmini,balanced,0
customer support,customer satisfaction,"[""customer service"", ""customer support"", ""customer care""]","[""Poor Experience with Blinkit ,,No Customer satisfaction , delivered package was not good as expected , when I try return the product not getting any response from Blinkit,,,don't download this app"", ""Grofers app was much better than this. Now blinkit app is not taking my address for delivery where as it is taking the main road next to my appartment gate, is it not ridiculous. You should have done through testing before deploying change, it is the worst customer satisfaction. Thanks for this horrible experience and good bye..I am sure your customer base is going to downsize drastically if this issues are not fixed."", ""Poor customer service, unacceptable billing policy 1. Senior citizen unfriendly. They change the displayed price and charge extra while placing the order. Senior citizens especially be careful ! 2. Non existent return and refund policy. After talking at lengths to their executive they have accepted that customer satisfaction does not count 3. Poor customer service. They just close the chat when they feel like without redressing the issue""]",blinkit (formerly grofers),3,4,1,blinkit (formerly grofers)__cluster_47,t-frex,allmini,balanced,0
timer controls,timing,"[""timer"", ""clock""]","[""Would give 5 but they disconnect a ton and never sync up right after. The app just today deleted all the speakers then randomly brought them back. They also have several small glitches and hiccups that would take more than 500 characters to list. But it is easy to setup and it does keep the. Speakers sound timing in sync and the sass I get sometimes is hilarious!"", ""Pretty good. Relies on your home wifi for response timing. But overall, satisfied."", ""Not intuitive. Especially for timing lights and groupings. Whoever programmes it not a user it seems.""]",Google Home,2,3,2,Google Home__cluster_16,t-frex,allmini,balanced,0
list management,to do list,"[""telephone lists"", ""check list"", ""do list"", ""doing lists"", ""lists""]","[""Absolutely love this app for keeping notes mostly a to do list of my jobs and shopping list I like the feature to make a list and add single items and it's very straight forward and free with no ads so 10/10 for me"", ""I use this app for temporary notes until I transfer to Microsoft one nite of I need to use it. I don't have one note on my phone but on my tablet. So this helps when my computer is not in use everyday. Also good for to do list for the year. I also used this app when I had my Samsung phone. Now I have the Motorola it's great. I'm used to this app."", ""Helps keep all of my checklists organized. Grocery list, food list, activity list, to do list, and my reminders all in one place. Quick place to add reminders when you are out and about.""]",ColorNote Notepad Notes,5,6,4,ColorNote Notepad Notes__cluster_15,t-frex,allmini,balanced,0
fertility tracking,questionnaire,"[""test"", ""questions""]","[""The app is great but the push for premium is really annoying. I was asked to take a mental health questionnaire because I logged in mood swings & stress. It starts with a lot of positive stuff & then abruptly switches to 'part of flo premium' when I click no, it goes to say 'sorry then I can't offer it to you just yet'. Just tell me in the beginning itself that it's a Flo premium thing. I wont go ahead. I logged in stress and mood swings do you really thing it's a good idea to annoy me more???"", ""Pay wall after a long questionnaire. It would be nice to be warned with the product pricing up front, frustrated I wasted my time. The user interface is simple and attractive, I just probably should have read the reviews before downloading. Disappointed. I clicked the x instead of starting a free trial, but I'm not sure if it just automatically got me set up without my consent. We shall see."", ""Deleted and canceled my account and they charged me without me even having my account anymore I deleted and canceled right after a long questionnaire. Had to take out my debit card out of google pay because that's how they charged me. Waste of time with this app and I am very mad. DO NOT DOWNLOAD USELESS APP AND THEY CHARGE YOU WITHOUT NOTICE!""]",Flo Ovulation & Period Tracker,2,3,2,Flo Ovulation & Period Tracker__cluster_1,t-frex,allmini,balanced,0
record videos,video recordings,"[""record videos"", ""recording"", ""capturing video"", ""event recording"", ""clip recording"", ""motion capturing"", ""cam footage"", ""footage""]","[""Monthly subscription is $6/month with no video history only pics of when motion is detected. $12/month subscription has videos for a month. Ring subscription is $3/month with video recordings for a month and $6/month for 60 days of video history.""]",Nest,8,9,4,Nest__cluster_29,t-frex,allmini,balanced,0
order tracking,share tracking,"[""tracker"", ""order tracking"", ""tracking""]","[""I used to use door dash, but it was insanely glitchy and unreliable. Uber Eats is significantly better in terms of performance, and adds a few perks like the ability to cancel an order, share tracking info, and change a tip based on courier performance. I knocked off a star because they don't have a good system for fixing incorrect orders. If an item is missing they'll refund that item, but if we still want it I have to reorder and pay the fees related to delivery and tip another courier.""]",Uber Eats: Food Delivery,3,4,1,Uber Eats: Food Delivery__cluster_13,t-frex,allmini,balanced,0
search functionality,locating,"[""google"", ""search""]","[""Great platform to play music \ud83c\udfb6 The sound quality is great depending on how old the song is. Other than that it has improved a lot when it comes to locating songs.""]",Spotify: Music and Podcasts,2,3,1,Spotify: Music and Podcasts__cluster_32,t-frex,allmini,balanced,0
advertising,advertisements,"[""marketing"", ""commercials"", ""advertising"", ""ads""]","[""The app works for its intended purpose. However, it's annoying that shuffle is forced, and there are too many advertisements which doesn't sound like the promised \""1 per 30 minutes\"". 3 stars for working only as expected."", ""Need a down vote button so you don't ever have to hear a song again. Feel like it's way harder to get a station to play music you like then other similar apps. Instead of having multiple back to back advertisements you should just have 10 seconds between each song or 30 seconds every 3rd song for the free version."", ""Thanks for fixing the problem. It is my favorite app and I open it everyday. The only problem is advertisements. They are more frequent and at a stretch 3-4 ads play at the same time.""]",Spotify: Music and Podcasts,4,5,4,Spotify: Music and Podcasts__cluster_20,t-frex,allmini,balanced,0
menstrual tracking,reports,"[""inform"", ""notices""]","[""I really love this app, and I use it all the time, but I wish that certain things were free. I don't have a problem with avoiding most of the premium stuff, but certain reports that could talk about possible health things indicated by your cycles and stuff shouldn't be premium because that's important info. Other than that, I love this app! :)""]",Flo Ovulation & Period Tracker,2,3,1,Flo Ovulation & Period Tracker__cluster_13,t-frex,allmini,balanced,0
credit score,scorecard,"[""rating"", ""score""]","[""I thought maybe this app integrated Discover's Credit Scorecard service and showed my Experian FICO 8 credit score without being a Discover customer or credit card holder. Alas, it does not. Login asks for a username whereas Credit Scorecard asks for an e-mail address, so there's no way to view your Experian FICO 8 credit score with this app unless you have an account with Discover. Three stars because it's sort of outlined in the app's description. Hopefully Discover adds it in the future."", ""This is a very useful app for cardholders. I especially like the FICO Credit Scorecard."", ""Everything I need to see is front and center like balance and payment options. I also like the Fico Credit Scorecard feature which allows me to monitor my credit without losing any points.""]",Discover Mobile,2,3,2,Discover Mobile__cluster_12,t-frex,allmini,balanced,0
web access,line site,"[""web"", ""site"", ""website""]","[""The best on line site I've been on, period!"", ""Can't find my purchases better online site. Missing too much!""]",Mercari: Your Marketplace,3,4,1,Mercari: Your Marketplace__cluster_12,t-frex,allmini,balanced,0
communication,communicate between individuals,"[""digital communication"", ""business communication"", ""communicate with"", ""personal communication"", ""communication between team"", ""learning communication"", ""team communication""]","[""Best & simple way to communicate between individuals and Team""]",Microsoft Teams,7,8,6,Microsoft Teams__cluster_21,t-frex,allmini,balanced,0
event management,share events,"[""events"", ""new events""]","[""Doesn't sync with desktop and I can't share events through the app... Google stop worrying about making cute UI \""updates\"" fix the apps first!"", ""How to share events via WhatsApp?"", ""I use to be able to share events with others and now I can't. And the color choices for events is gone, I can't choose.""]",Google Calendar,2,3,1,Google Calendar__cluster_14,t-frex,allmini,balanced,0
crypto services,crypto businesses,"[""cryptoc"", ""crypto apps"", ""crypt""]","[""I love \ud83d\udc95 app it makes it easy for me to do my crypto businesses with ease and comfort\ud83d\ude0a""]",Trust: Crypto & Bitcoin Wallet,3,4,1,Trust: Crypto & Bitcoin Wallet__cluster_24,t-frex,allmini,balanced,0
investment education,learning process,"[""educational"", ""tutor""]","[""Pretty nice experience and learning process""]",Robinhood: Stocks & Crypto,2,3,2,Robinhood: Stocks & Crypto__cluster_41,t-frex,allmini,balanced,0
multi-device sync,across multiple devices,"[""multi device"", ""devices"", ""across devices"", ""between devices""]","[""Not syncing automatically most of the time. And manually sync button is not given which makes it useless to use across multiple devices.""]",Evernote - Notes Organizer & Daily Planner,4,5,4,Evernote - Notes Organizer & Daily Planner__cluster_22,t-frex,allmini,balanced,0
video streaming,live footage,"[""streaming"", ""video stream"", ""video clips"", ""load video"", ""youtube"", ""videoconfer""]","[""Excellent device. Sure wish it could record live footage continuously though but that would drain the battery faster. Caught a thief a few days ago. The system alerted me to someone breaking into my house. Could not believe I was watching that happening live while sitting and working at my desk so far away. A suspect was apprehended. Amazing system amazing device. I love it and plan to get another pair."", ""I love what the app means to do, as we appreciate the doorbell camera. Since I'm in a wheelchair I couldn't get to the door fast enough in the past but this helps a lot. However, the app constantly doesn't load live footage until I reopen the app several times, or I have to swipe back and forth on the timeline to see video. I've also been hit with constant ads to pay more money for a subscription of some kind which is obnoxious. Also it would be nice if it opened directly to live feed.""]",Google Home,6,7,2,Google Home__cluster_10,t-frex,allmini,balanced,0
order tracking,location tracking,"[""tracking"", ""tracker""]","[""No dount excellent experience...location tracking is unbeatable""]",Domino's Pizza - Online Food Delivery App,2,3,1,Domino's Pizza - Online Food Delivery App__cluster_18,t-frex,allmini,balanced,0
password migration,migrating,"[""moving"", ""transfer""]","[""Once this app was wonderful before it popularity, ever since implementing restriction to number of devices cause ton of problems, the autofill feature became reductant, if free user after switching devices cannot switch back to original service, the app turns out like ransom app because they at in control. Waste too much resolving issues than usage, it time saying goodbye to this app. Migrating to an app with user controls instead of maker app control."", ""I have about a week migrating from mSecure and it is not easy. Autofill is very convenient buy I miss the customization I had in mSecure. Here you can not add additional key fields like PIN number to a Credit card, etc.""]",LastPass Password Manager,2,3,2,LastPass Password Manager__cluster_7,t-frex,allmini,balanced,0
interest tracking,ipe count,"[""ipemat"", ""ipes""]","[""The swipe count you get for free is trash, no more super likes, the algorithm plays games with you and if you want some paid services the prices are sky high.""]",Tinder - Dating & Make Friends,2,3,2,Tinder - Dating & Make Friends__cluster_12,t-frex,allmini,balanced,0
lyrics display,song identification,"[""song find"", ""lyrics reading"", ""lyrics card""]","[""Best ever lyrics app i have ever used yet.Customizations for lyrics showing page are really awesome and song identification is really fast.A perfect app to view lyrics"", ""Literally the best app for any lyrical needs. Also, it has a really powerful song identification feature, much like sound hound app""]",Musixmatch - Lyrics for your music,3,4,2,Musixmatch - Lyrics for your music__cluster_10,t-frex,allmini,balanced,0
sync tasks,sync across devices,"[""synching"", ""sync tasks"", ""sync on"", ""sharing sync""]","[""After trying out several task management apps, I decided on Google Tasks. It's simple to use, has a clean/organized layout, doesn't require any effort to sync across devices, integrates well with Gmail and Calendar, and can add subtasks under tasks.""]",Google Tasks,4,5,1,Google Tasks__cluster_90,t-frex,allmini,balanced,0
file management,file explorer,"[""file manager"", ""folder"", ""files""]","[""Useless, doesn't detect mp3 files on SD card connected by usb! I can browse to them via file explorer.""]",Music Player - Audify Player,3,4,2,Music Player - Audify Player__cluster_4,t-frex,allmini,balanced,0
content sharing,share information,"[""share document"", ""share content"", ""document sharing"", ""knowledge sharing"", ""sharing""]","[""Very clear, easy to share information in chat.""]",Webex Meetings,5,6,4,Webex Meetings__cluster_28,t-frex,allmini,balanced,0
cycle insights,understand,"[""point"", ""insights""]","[""This app is awesome for tracking your period, and I've been using this app for 2 years, and i just have one query. Why do we have to pay premium for something that is essential to women? I understand you guys need to make money some way, but why would you make people pay for something that is out of women's control?? This is ridiculous"", ""it's absolutely great, understandable and well detailed."", ""I've used this app for years. I understand the devs need money, but making every single insight only available via subscription is bogus. Yeah, I see the free options. Secret chats are junk. To me, flo is now no different than all the other period trackers, and since I've never been crazy about the layout, I will probably be uninstalling once I transer my info elsewhere. It's a bummer though, because I've used the app since 2017. But the recent changes have really turned me off.""]",Flo Ovulation & Period Tracker,2,3,2,Flo Ovulation & Period Tracker__cluster_2,t-frex,allmini,balanced,0
document sharing,sharing paperwork,"[""share documents"", ""share paper"", ""share files"", ""share data"", ""file sharing"", ""sharing files"", ""document sharing""]","[""Does a great job of scanning and sharing paperwork, makes clear and legible reproductions on the go.""]",CamScanner - PDF Scanner App,7,8,2,CamScanner - PDF Scanner App__cluster_2,t-frex,allmini,balanced,0
live updates,changing,"[""post"", ""update"", ""live"", ""working""]","[""Really wish I could log back in but changing my phone number is seeming impossible even after following all instructions."", ""Haven't used my account in a while but even after changing password all i am getting is a blank white screen. Hum, suspicious! What to do from here?"", ""Overall user friendly! You don't have to invest large amounts of money; you can buy fractional shares. Robinhood also stays on a path of learning it customers what they like and this ever changing economy""]",Robinhood: Stocks & Crypto,4,5,3,Robinhood: Stocks & Crypto__cluster_20,t-frex,allmini,balanced,0
clock customization,clock background,"[""clock settings"", ""clock designs"", ""clock faces""]","[""Hate that we have \""zone minutes\"" instead of regular exercise time. Also the clock background can't b changed because it doesn't sync""]",Fitbit,3,4,2,Fitbit__cluster_64,t-frex,allmini,balanced,0
organize,organization,"[""organize"", ""organizing"", ""meetings""]","[""Great for notes reminders, organization of up coming plans"", ""I myself enjoy the ColorNote Notepad, this little Notepad keeps me on Track with no problems, I'm A VETERAN and I need the Organization for my anxiety to stay down, I have used these for years on my Desktop Computer ever since they came out, Between the Calendar and the Notepad on my phones, I stay very organized and I think it is better than a piece of paper that you might lose. NO MORE 3M STICKY NOTES TO CARRY FOR ME. THANK YOU COLORNOTE NOTEPAD NOTES."", ""Easy to use. Color note headers for easy organization. Puts last saved note to the top of the list if you choose that option. Has backup feature! Cannot find my backed up account. All I get is an old account. Can't reset password for the account either.""]",ColorNote Notepad Notes,3,4,2,ColorNote Notepad Notes__cluster_45,t-frex,allmini,balanced,0
data storage,data collection,"[""data store"", ""cloud storage"", ""storage""]","[""Force sign in and data collection""]","Adobe Scan: PDF Scanner, OCR",3,4,1,"Adobe Scan: PDF Scanner, OCR__cluster_10",t-frex,allmini,balanced,0
video sharing,recording videos,"[""transfer video"", ""video files"", ""video apps"", ""videos"", ""playing videos"", ""watching videos""]","[""The app is ok ig but sometimes thing doesnt wanna send at all... ALSO... Please remove the ads when im not even in the freakin app!! So annoying because while im recording videos your stupid ads ruins EVERYTHING!!!""]",SHAREit: Share & File Manager,6,7,3,SHAREit: Share & File Manager__cluster_55,t-frex,allmini,balanced,0
audio communication,audio connectivity,"[""audio connection"", ""audio exchange"", ""audio hearing"", ""audio quality"", ""audio vision"", ""audio sync"", ""video audio""]","[""Painful, inconsistent and with poor audio connectivity.""]",Webex Meetings,7,8,4,Webex Meetings__cluster_21,t-frex,allmini,balanced,0
account management,multiple account,"[""bank account"", ""account""]","[""I give this app 1 star only because i cant give it 0 stars. I have only been on it for a week because my wife invited me to join it with her. Now im blocked from almost everything, because they want to say I have multiple accounts. I only have the 1 account. Would not recommend this app because customer service sucks really bad!!!!!!!! Officials are rude when they talk to you and refuse to help any at all. I would fire them and hire some who actually gave a dam about people."", ""Its really awesome but i can't join in family because it always says multiple accounts plss once see about that"", ""Hope that the managemet heard my request on how to fix my problem and teach me how to do it to fully enjoy this app. The system always say about a multiple account. And i really want to fix this problem.""]",StarMaker: Sing Karaoke Songs,2,3,1,StarMaker: Sing Karaoke Songs__cluster_1,t-frex,allmini,balanced,0
account types,private account,"[""bank account"", ""account""]","[""Lack private account because annoying seller follow you and privacy sucks""]",Shopee MY: 3.15 Consumer Day,2,3,1,Shopee MY: 3.15 Consumer Day__cluster_32,t-frex,allmini,balanced,0
alerts,notices,"[""alert"", ""alarms""]","[""Please bring back the share icon. Also, since the update....my app is no longer tracking my weekly exercise nor am I getting notices about my daily stat goals. Please fix these problems."", ""I have a VERSA 3 and I like its functions as well as the functions on the app. Sadly the notification syncing doesn't work and their support sucks. I have been in contact with FITBIT on many occasions and after hours on end, we have managed to get it to re-establish notices on the tracker but only for about 30 minutes (estimate) and then it disappears again. Restarting the phone doesn't help. The first time I contacted support they couldn't fix the problem and advised me that they will escalate the problem and will respond by email. After about 24 days (not hours) without any response, I contacted them again just to find out that the ticket was \""auto closed\"". The same thing happened the second time and then I phoned their support. Again \""we will escalate\"" but nothing. After two or three further emails and messages on the FB page, I have found them now to work on the matter but it is clear that they are stumped and have no idea to fix the problem - so sad. I suggest if you need that function - don't go fitbit, maybe one of the others have solved this problem.""]",Fitbit,2,3,1,Fitbit__cluster_17,t-frex,allmini,balanced,0
scheduling,schedule programming,"[""scheduling"", ""timetable""]","[""The schedule programming is too difficult. Please make it easier! The temperature buttons are too small, and too hard to control."", ""Other than schedule programming the app is seamless and intuitive. the schedule can end the constant adjustment, and with practice is easy to build""]",Nest,2,3,2,Nest__cluster_14,t-frex,allmini,balanced,0
money transfer,recipient,"[""receiving"", ""receiver""]","[""Sent funds and recipient never received 3 weeks later and I'm being told that it was received."", ""I love Zelle & using it, BUT...my bank's app won't let me get my own QR Code and this stupid app will only let us log into the bank's app! If you want to serve your clients and INCREASE the # using your app, make it easier for people to FIND Recipient's via a QR code...like your COMPETITORS!!!"", ""Impossible to find info. Needed to send $1500 but it kept saying over weekly limit. I've sent $2000 to this same recipient before. Why the change and why can't you just tell me the weekly limit, especially if your randomly change it? Why do I have to keep trying different amounts??? LAME!""]",Zelle,2,3,2,Zelle__cluster_0,t-frex,allmini,balanced,0
trade alerts,push notification,"[""trade alert"", ""warning"", ""notification"", ""alert""]","[""They limit your ability to buy certain stocks and give you absolutely no ability to buy or sell options. They also constantly send push notifications about stupid things and you can't turn them off without turning off everything. Looks good but it sucks.""]",Robinhood: Stocks & Crypto,4,5,2,Robinhood: Stocks & Crypto__cluster_26,t-frex,allmini,balanced,0
group communication,communicate with groups,"[""group conversations"", ""group discussions"", ""group call"", ""group chat""]","[""Very good. I find it very helpful to safely communicate with groups""]",ZOOM Cloud Meetings,4,5,3,ZOOM Cloud Meetings__cluster_116,t-frex,allmini,balanced,0
marketplace,purchasing,"[""deals"", ""buying"", ""selling"", ""sales"", ""trading""]","[""Jumia is an organized and timely method for purchasing items online."", ""It's a better and cheaper way of purchasing items"", ""Easy for purchasing I love this app""]",JUMIA Online Shopping,5,6,4,JUMIA Online Shopping__cluster_18,t-frex,allmini,balanced,0
website management,new sites,"[""site"", ""website"", ""google""]","[""Good app, but when I save new sites, they don't show until I log out and in again."", ""Works well with new sites. However managing and tidying up your existing passwords is a nightmare on the desktop app. The UI is so bad that you can't simply indentify and fix reused passwords.""]",LastPass Password Manager,3,4,1,LastPass Password Manager__cluster_27,t-frex,allmini,balanced,0
grocery shopping,grocery categories,"[""grocery shopping"", ""grocery delivery"", ""grocery pickup"", ""grocery store"", ""grocery order"", ""grocery bill"", ""grocery apps"", ""grocery list"", ""groceries""]","[""I really don't like the latest update. Every time I get used to the setup it changes. Now I have to use a filter to access the different grocery categories. Why is the layout constantly changing?""]",Ibotta: Save & Earn Cash Back,9,10,4,Ibotta: Save & Earn Cash Back__cluster_54,t-frex,allmini,balanced,0
order messaging,communication,"[""messaging"", ""communicate""]","[""Every now and then the driver does not deliver or can't find where you are. Communication is poor and half of the drivers do not speak the same language."", ""Was one of the best apps. Now it's horrible. There seems to be no communication between the restaurant and the apps. One delivery driver told me I had to increase my tip for better service instead of better service being a reason for a good tip. Not to mention it's impossible to get support. Just use Uber to go get the food yourself, it may even be cheaper that way."", ""I love the communication level! And they're very friendly!""]",Uber Eats: Food Delivery,2,3,2,Uber Eats: Food Delivery__cluster_35,t-frex,allmini,balanced,0
google integration,google technology,"[""google products"", ""google enabled"", ""google suite""]","[""This is such a great app and I greatly enjoy my google technology!""]",Google Home,3,4,3,Google Home__cluster_29,t-frex,allmini,balanced,0
class management,to do class,"[""class link"", ""classes""]","[""This app 8s not letting me put virtual bacground and I need that in mi because in my school I just canot do it everytime on laptops we need the virtual background in mobiles and overall everything is fine but the virtual background issue needs an update on the. Laptop it shows update but not on the mobiles play store if u. Have mi please solve this issue. The virtual background also needs to be in old mobiles if we want to do classes very good quality camera and microphone"", ""Over all this is a great app to do classes and meetings in total 2 years I do classes with this app I pass class 3 & 4 - 1 \u2b50 because sometimes it makes me angry"", ""It is very nice platform to do class""]",ZOOM Cloud Meetings,2,3,2,ZOOM Cloud Meetings__cluster_81,t-frex,allmini,balanced,0
document conversion,convert documents,"[""file conversion"", ""file convert""]","[""Always work good. Many options for convert documents. Worth have it"", ""This is exciting and excellent App that allow you to scan and convert documents to various forms you desire. I found it helpful in converting pdf documents to jpg.""]",CamScanner - PDF Scanner App,2,3,1,CamScanner - PDF Scanner App__cluster_51,t-frex,allmini,balanced,0
file management,file manager,"[""media files"", ""files""]","[""This app is really nice to hear music . In my phone there was not an app music so i should hear from file manager ... Nice app"", ""There are some sounds and files that i dont want them to be on my sasung music & I would like to access them only in my file manager . Things like podcasts or recorded voices . It would be much better if it was possible to remove these files from samsung music without deleting them . Thank you""]",Samsung Music,2,3,1,Samsung Music__cluster_4,t-frex,allmini,balanced,0
location tracking,location mapping,"[""gps lo"", ""google maps"", ""map""]","[""Very accurate location mapping for my family. Love to see the tracking/movement of family member avators... too cute. Most importantly, app provides peace of mind of concerned members. Even helped us locate a missing/stolen iPhone to recovery at local police station! Keep up the good work Life360!!!!""]",Life360: Find Family & Friends,3,4,3,Life360: Find Family & Friends__cluster_1,t-frex,allmini,balanced,0
user guides,documentation,"[""directions"", ""manual"", ""instructions""]","[""Much improved after finding online documentation""]",Fitbit,3,4,1,Fitbit__cluster_3,t-frex,allmini,balanced,0
pause tracking,stopped,"[""stops"", ""pause""]","[""The life360 app has stopped working since I switched to a new phone. I followed the steps, I reached out to support with no help. I can't do anything in the app and now it's not working at all. It was a good app before."", ""Arrival and departure notifications stopped working 1 week ago. UPDATE: notifications are now working again."", ""Loved it for years, now totally frustrated. I could see family but I stopped working. Tried everything. Finally daughter uninstalled and when tried to install again, it has stayed pending for hours. Ready to give up""]",Life360: Find Family & Friends,2,3,2,Life360: Find Family & Friends__cluster_24,t-frex,allmini,balanced,0
ran,marathon,"[""ran"", ""runs"", ""running"", ""runner""]","[""This app could be the best, but doesn't want to be. Training plans and guided runs push this app beyond any other, but trading plans used to be more powerful. Now I can't even create a personalized plan, I have to choose between 2 or 3 that randomly appear in my profile. For now I have a 5k plan, but I want a 10k plan, how do I unlock it? I also see a half marathon plan, but not a full marathon. Why?"", ""The 1/2 marathon training program was very inspiring and motivating. Sometimes hard to find a desired workout in the app - search could be better."", ""all my last runs were not saved. I have been using the app since 2013. So upsetting to complete 18 km and half marathon and no to see it.""]",Nike Run Club - Running Coach,4,5,1,Nike Run Club - Running Coach__cluster_8,t-frex,allmini,balanced,0
app integration,connected apps,"[""google apps"", ""application""]","[""I currently can't see my connected apps or integrate with Google Fit with iFit which greatly reduces the usefulness."", ""Will not pull info from connected apps. For example, Wyze. Both apps say everything is connected and authorized but it doesn't work."", ""Collects data from connected apps when it randomly feels like it, never consistent and the tracking map is equally hapazard by its sporadic appearance.""]",Google Fit: Activity Tracking,2,3,2,Google Fit: Activity Tracking__cluster_33,t-frex,allmini,balanced,0
shopping,commerce store,"[""store"", ""shoppe"", ""shop""]","[""I am very satisfied to this application. It provides e-commerce store for any businesses, which they aim for buyers to provide less hassle and easiness to find what they are looking for.""]",Shopee PH: Shop on 3.3 - 3.15,3,4,2,Shopee PH: Shop on 3.3 - 3.15__cluster_14,t-frex,allmini,balanced,0
